id,lng,lat
1034,-2.766408,50.974457
1035,-2.766170,52.695505
1036,-2.764246,53.896117
1037,-2.760976,53.546992
1038,-2.760792,53.411032
1039,-2.760613,53.367798
1040,-2.760445,51.480313
1041,-2.759880,53.449692
1042,-2.758815,53.538980
1043,-2.758432,50.728625
1044,-2.758363,53.777015
1045,-2.756471,52.709604
1046,-2.756284,51.590174
1047,-2.756164,53.463089
1048,-2.756091,53.268931
1049,-2.755483,53.592860
1050,-2.753928,54.663035
1051,-2.752749,53.433206
1052,-2.752566,53.767631
1053,-2.752432,50.739131
1054,-2.752344,53.726581
1055,-2.752195,51.428610
1056,-2.751942,50.937993
1057,-2.750928,54.326581
1058,-2.750695,53.381409
1059,-2.750345,52.041774
1060,-2.749035,54.666191
1061,-2.747560,52.229333
1062,-2.747520,53.452935
1063,-2.746817,52.717996
1064,-2.746378,51.121778
1065,-2.744421,52.698539
1066,-2.744404,53.784090
